"Class? (MATH 143, PSY 202, etc)",Book Title,Book Author,Edition,Link,ISBN
BUS 387,Organizational Behavior,Talya Bauer & Berrin Erdogan,2nd,https://my.uopeople.edu/pluginfile.php/57436/mod_book/chapter/37376/book.bauer.complete.optimized.pdf,
BUS 392,Swift Programming: The Big Nerd Ranch Guide,Matthew Mathias & John Gallagher,2nd,https://drive.google.com/open?id=1cdjU5mM4qR4lop1kmf-R2ExHTfgnIkdG,9780134610610
BUS 393,Modern Database Management,"Jeffrey Hoffer, V Ramesh, Heikki Topi",13,https://drive.google.com/open?id=1hy8il0nNjQ-MoDifGdqFrXPprraQSWaT,9780134773650
BUS 393,Modern Database Management,"Hoffer, Ramish, Topi",11,https://drive.google.com/open?id=1IxNC8AP5OOrh38RncKjxAFOdIuEZiATe,
BUS 394,System Analysis and Design,Dennis,6th,https://drive.google.com/open?id=15Ge7k7hn8KNrsv6px4cZuAi2f5M60Mrr,
BUS 395,Information Technology Project Management,Kathy Schwalbe,9th,https://3lib.net/book/5828465/3d28dd,9781337101356
BUS 395,Information Technology Project Management,Kathy Schwalbe,7th,https://drive.google.com/file/d/1_qtg1XewT-OCQxjlFQiOu9j1pkdM6LyQ/view?usp=sharing,
BUS 396,"Consumer Behavior, Buying, Having, and Being","Solomon, Pearson",13,https://drive.google.com/open?id=1K6HnrUvylR06XXK56rbcXTOi0If4S18K,9780135225691
BUS 401,Strategic Management,Frank Rothaermel,5th,https://3lib.net/book/16735119/b9b4bc,
bus 401,Strategic Management,Frank Rothaermel,6th,https://drive.google.com/file/d/1COlyol-zSM1zyk-iPlRn74cr7EjYiwar/view?usp=drive_link,
BUS 401,Strategic Management,Frank Rothaermel,3rd,https://studydaddy.com/attachment/81773/jg4hbd76f2.pdf,
BUS 401,Playing to Win How Strategy Really Works,A.G Lafley and Roger Martin,,https://drive.google.com/open?id=131-m_vsURmIphwI9hpYtqc55fkgQU_TO,
BUS 401,Strategic Management Concepts and Cases,"Jeffrey Dyer, Paul Godfrey, Robert Jensen, David Bryce",3,https://drive.google.com/open?id=1Tm_WFwyNyQpQ_UboiUe-kdrqwus7liEj,9781119563136
BUS 404,Business Law and the Regulation of Business,Richard A. Mann and Barry S. Roberts,13th,https://drive.google.com/file/d/1QSyzVDySqF4Qf1oE0PsrXMEoHVmNwKpD/view?usp=drive_link,9780357042625
BUS 404,"Law, Business, and Society","McAdams, Dosanjh Zucker, Neslund",11,https://drive.google.com/open?id=0B0wG7bEUigUDaTdlZnhBbmxNbG5yOU5nT0ZnYko4V01fckpB,
BUS 431,Investments,"Bodie, Kane, Marcus",10th,https://drive.google.com/file/d/1_NLM8wIioUN2WQGf9bsabgBDiiPQ4WHa/view?usp=sharing,
BUS 441,"Financial Modeling, 5th Edition","Simon Benninga, Tal Mofkadi",5,https://drive.google.com/open?id=1mOldcFGki6t2GN9x0XH9nUdBwxkld5iR,9780262046428
BUS 499 Data Communications and Networking,Business Data Networks & Security (2018),"Panko, R.R. and Panko, J.L.",11th,https://drive.google.com/file/d/104x2CT8PklshclwmFFGZ-HLhZzJ2Kbwg/view?usp=sharing,9780134817125
BUS442,"Options, Futures, and Other Derivatives",John C. Hull,11,https://drive.google.com/open?id=1N2kiriOngAaNWTBbqklM2frqyYBSpAGp,9780136939917
CD 304,Children,John Santrock,14,https://drive.google.com/open?id=16Hx2GQt0N-KjY-nSSAaeKjl7C4NhHr4n,
CD 306,Adolescence and Emerging Adulthood,Jeffrey J. Arnett,6,https://drive.google.com/open?id=1YkEBFP83fx7ux9z2ymdcEIDWTw-cF83P,
CD 356,Disorders in Childhood: Development and Psychopathology,Parritz and Troy,1,https://ipfs.io/ipfs/bafykbzacebttyiwy54ip5vgyzj6ibr3xtku3uu3h5omjyq53xakmqhplsb7zq?filename=Robin%20Hornik%20Parritz%2C%20Michael%20F.%20Troy%20-%20Disorders%20of%20Childhood_%20Development%20and%20Psychopathology-Cengage%20Learning%20%282010%29.pdf,
CD 356,Disorders of Childhood Development and Psychopathology,Robin Hornik Parritz and Michael F. Troy,3,https://drive.google.com/open?id=1rRkiY3lsZ_VnuIx1UobiXCsDnRBSO-eJ,9781337098113
CD 424,The Cultural Nature of Human Development,Barbara Rogoff,2003 oxford press,https://edisciplinas.usp.br/pluginfile.php/5062545/mod_resource/content/1/Rogoff-The%20Cultural%20Nature%20of%20Human%20Development-Oxford%20University%20Press%2C%20USA%20%282003%29.pdf,9780195131338
CD 460,UNDERSTANDING CHILD ABUSE AND NEGLECT,CYNTHIA CROSSON-TOWER,10,https://drive.google.com/open?id=17t8FY6Ut2Vv8Ln-kksdnqEcGPgw-JVPF,9780135168066
CE 111,Designing Your Life,Bill Burnett and Dave Evans,unknown,https://archive.org/details/designing-your-life-how-to-build-a-well-lived-joyful-life-by-bill-burnett-dave-evans-z-lib.org.epub/page/n3/mode/2up,
CE 204,Mechanics of Materials,"Beer, Johnston, DeWolf, Mazurek",8,https://drive.google.com/open?id=1u_PYpsecMIetpt-7fE3KwyBE9rBLG9V0,9781260113273
CE 204/207,Mechanics of Materials,"Ferdinand Beer, Jr., E. Russell Johnston, John DeWolf, David Mazurek",7th,https://drive.google.com/file/d/1eFmlyhCTwSVzZbFq3385yI4C58VdQ0Rr/view?usp=sharing,
CE 204/207,Mechanics of Materials,"Ferdinand P. Beer, E. Russell Johnston, Jr., John T. DeWolf, David F. Mazurek",7,https://drive.google.com/open?id=166uOYYR4kK_na-gkhXo6eHG69gnQbYJR,
CE 204/207,Mechanics of Materials,"Ferdinand Beer, Jr., E. Russell Johnston, John DeWolf, David Mazurek",7th,https://drive.google.com/open?id=1XD-H4ICDbD5qRXEeHUE8ULb6VH3X4YtZ,
CE 207,Mechanics of Materials,"Beer, Johnston, DeWolf, and Mazurek",7th,https://drive.google.com/file/d/1FiduRLC6gwbJbOrQd2GTrsQt7a031MLG/view?usp=sharing,
CE 208,Mechanics of Materials,"Ferdinand Beer, Jr., E. Russell Johnston, John DeWolf, David Mazurek",6th,http://site.iugaza.edu.ps/ajubeh/files/2012/05/B00k-Mechanics-of-Materials-Mcgraw-2012-Ed6-978-0-07-338028-5.pdf,9780073380285
CE 251,Engineering with Excel,Ronald W. Larsen,4,https://drive.google.com/open?id=1Xi7Yhe5WJkuh0q2Yr7Bdsrbw9hH2WKNd,
CE 251,Introduction to VBA for Excel,Steven C. Chapra,2,https://drive.google.com/open?id=1dVowcreDXckNqz5vGl017kSZ7rtrOR8a,9780132396677
CE 259,Design and Control of Concrete Mixtures,"Kosmatka, S.H., and M.L. Wilson",15,https://drive.google.com/open?id=1owErhu3TBQ6FHnD5v7aMJuLtxN0wcBv7,
CE 321,Fundamentals of Transportation Engineering; A Multimodal Systems Approach,"Fricker, J. and R. Whitford",2nd,https://drive.google.com/file/d/1-OBs5qyQ1WebXeNjH_Dj6J8iQ89kq1qh/view?usp=sharing,
CE 336,Water Resources Engineering,Larry W Mays,2,https://drive.google.com/open?id=1r88p6FqGu498j-FD-6yJUAwSfQSQ1AYG,9780470460641
CE 355,Design of Reinforced Concrete Structures,McGraw-Hill,16th,https://drive.google.com/file/d/1RgqYoiNj3Hcls21pifQCXMNJcY25OGG_/view?usp=sharing,
CE 355,Design of Concrete Structures,"Darwin, Dolan, and Nilson",15,https://drive.google.com/open?id=1goYQ4NsMgEu0JUCus3_Sxqfz0eKmPSkW,
CE 356,Steel Design,William T. Segui,4,https://drive.google.com/open?id=11GqmkQ9x0aVO3RfUunr56x3fbl2zEG1b,
CE 381,"An Introduction to Geotechnical Engineering Second Edition by Robert D. Holtz, William D. Kovacs, and Thomas C. Sheahan, Prentice Hall, 2010.","Robert D. Holtz, William D. Kovacs, and Thomas C. Sheahan",Second Edition,https://drive.google.com/file/d/1qmgd8cO7097lPFIFRxjih5Deim4lD3H9/view?usp=sharing,
CE 455,Design of Wood Structures - ASD/LRFD,Donald E. Breyer,6,https://drive.google.com/open?id=1GitxK37nrvFbXM9ZrDWGeF3STaSH3eke,9780071455398
CE 481,The Engineering of Foundations,Rodrigo Salgado,,https://drive.google.com/open?id=1XTuaABsJCKnDWnGRarJcx-9q6SJhEhKR,
CE207,Mechanics of Materials Ch. 9 Solutions,"Beer, Johnston, DeWolf, and Mazurek",7,https://drive.google.com/open?id=15F94yTP8tJG2enKotH8Ygi2sAoyhbO68,
CE207,Mechanics of Materials Ch.7 Solutions,"Beer, Johnston, DeWolf, and Mazurek",7,https://drive.google.com/open?id=15UOZUfIZPHL5W_z1PijmT8EHbFo05QVP,
Chem 124,Chemistry: Atoms First,"Neth, Flowers, Theopold, Langley, Robinson",unknown,https://d3bxy9euw4e147.cloudfront.net/oscms-prodcms/media/documents/ChemistryAtomsFirst-OP_1D7uBNB.pdf,
"CHEM 124, 125, 126",Chemistry,"Flowers, Theopold, Langley",,https://openstax.org/details/chemistry,
CHEM 125,Chemistry: Atoms First 2e,"Neth, Flowers, Theopold, Langley, Robinson",2,https://assets.openstax.org/oscms-prodcms/media/documents/ChemistryAtomsFirst2e-WEB.pdf,9781990641701
CHEM 216,Making the Connections: A How-To Guide for Organic Chemistry Lab Techniques,Anne Padias,2,https://cloudflare-ipfs.com/ipfs/bafykbzaceaovkmkq74pu32m3sz7rul4drgsexwn5kuuqvh5yksmejyq6q3ycy?filename=Anne%20B%20Padias%20-%20Making%20the%20connections%20_%20a%20how%20to%20guide%20for%20organic%20chemistry%20lab%20techniques-Hayden%20McNeil%20%20%282007%29.pdf,
CHEM 216,Making the Connections: A How-To Guide for Organic Chemistry Lab Techniques,Anne B. Padias,2,https://drive.google.com/open?id=16UhloA-3H6DBlFhm8vDcbRiMnIwL76px,
CHEM 216,Making the Connections: A How-To Guide For Organic Chemistry Lab Techniques,Anne Padías,2,https://drive.google.com/open?id=1acW40bvmi4oq474yZdtreDEBw1vGQdFc,
CHEM 216,Solutions Manual for Organic Chemistry,Jan William Simek,8,https://drive.google.com/open?id=1B8RGOsuyR9ctxTcSP8L-6l9VNMzLtndk,
"CHEM 216, 217, 218",Organic Chemistry,L.G. Wade,9e,https://drive.google.com/file/d/1nQSLK-TYJSu0iHuOtWkaW3cwD-fFUx4k/view,9780321971371
"CHEM 216, 217, 218",Solutions Manual for Organic Chemistry,Jan William Simek,9th,https://drive.google.com/open?id=1UUH_8OthMc-Al4JwxS8W5l3bB2r4CM6S,
"CHEM 216, 217, 218",Organic Chemistry,L.G. Wade,9,https://drive.google.com/file/d/0Bxk9Se_250iNZ21SUUZQNzNyYkU/view,9780321971371
CHEM 313,Biochemistry: A Short Course,"Tymoczko, Berg, Stryer",3rd,https://drive.google.com/open?id=1tmyvKOp_SQl7FXI2V2jPXInWXLda-kqj,
CHEM 313,BIOCHEMISTRY A Short Course,John L. Tymoczko,4,https://drive.google.com/open?id=1Sizjo_6oMzqGIgGFGSp64m3zLQamm3qD,
Chem 351,Atkins' Physical Chemistry Instructors Solutions Manual (10th Ed.),Peter Atkins; Julio de Paula,10,https://drive.google.com/open?id=17fy0-5BVJxjam48FfvRyP4qLELmEmRyQ,
"CHEM 351, 352, 353",Atkins' Physical Chemistry,Atkins,11,https://drive.google.com/open?id=1PcYvNqjMTMJtFMN8IjxiP03Upw7eC-Gm,
"CHEM 351, 352, 353",Physical Chemistry,Atkins,10,https://drive.google.com/open?id=1jhC8JjHvccI378Xu4Qw88L-ORaCp19qM,
"CHEM 351,352,353",Physical Chemistry,Peter Atkins,10,https://drive.google.com/open?id=173YKt7WIAqTMn9nY57P3sLtbVACZHvLT,
CHEM 371,"Lehninger, Principles of Biochemistry",Nelson and Cox,7th,https://drive.google.com/file/d/1Z3Qa7c3D4GWUsPWlrzQBfRH3QYdd6I_j/view?usp=sharing,
CHEM 371,Principles of Biochemistry,Lehninger,7,https://drive.google.com/open?id=1VwMwoX2Vhj_mqU0ypv8i1-gnHkc7tMcY,
CHEM 371,Lehninger Principles of Biochemistry,"David L. Nelson, Michael M. Cox",6,https://drive.google.com/open?id=1epfheUtCeQhf0f1VTj9Bzs6x0HuxojeM,
CHEM 377,An Introduction to Medicinal Chemistry,Graham L. Patrick,5th,https://www.academia.edu/36903466/An_Introduction_to_Medicinal_Chemistry_Fifth_Edition-_Graham_L._Patrick,
CHEM 377,An Introduction to Medicinal Chemistry,Graham L Patrick,5th,"https://uogqueensmcf.com/wp-content/uploads/2020/BA%20Modules//Pharmacy/Year%20II%20(semester%202)/Medicinal%20Chemistry%20I/Reference%20books/An%20Introduction%20to%20Medicinal%20Chemistry%205th%20ed%20-%20Graham%20L.%20Patrick%20(OUP,%202013).pdf",
CHEM 414,Advanced Organic Chemistry Part A: Structure and Mechanisms,Carey & Sundberg,5th,https://link-springer-com.ezproxy.lib.calpoly.edu/book/10.1007%2F978-0-387-44899-2,9780387448992
CHEM 484,Inorganic Chemistry,Gary Miessler,3,https://drive.google.com/open?id=1XFumG4A8XyZJGwdrVbJKLKYB6CWdv5DC,
CHIN 101 / 102,Chinese Link 1: Character Exercises Part 1,"Sue-mei Wu, Yueming Yu",2,https://drive.google.com/open?id=11X9O_vnvPyctzpuyeW9QKUJ5TNz9ztAP,
CHIN 101 / 102,Chinese Link 1: Student Activity Manual Part 1,"Sue-mei Wu, Yueming Yu",2,https://drive.google.com/open?id=1vnKX9nnH_KOg9eDdz3BQXx5z1ZGdQCLm,
CHIN 101 / 102,Chinese Link 1: Textbook Part 1 (Simplified),"Sue-mei Wu, Yueming Yu",2,https://drive.google.com/open?id=1lQfrnEB22o99_KBCeflRAn8WFiOsn27F,
CM 102,Construction Management JumpStart,Barbara Jackson,3,https://drive.google.com/open?id=1AXtqdyn6OSPuvyC5mtvU46TxQnanApXB,
CM 102,Construction Management JumpStart,Barbara Jackson,2nd,http://library1.ga/_ads/051F327BA2F972715182FBDADE46109C,
CM 232,"Fundamentals of Engineering Economics // The Evaluations of Cost Alternatives, Custom Book",Chan S. Park,4,https://drive.google.com/open?id=1o893HrpyYhzEa1wJH7YjNLpI3CkBP7JT,
CM 314,"Construction Planning, Equipment, & Methods","Peurifoy, Schexnayder, Schmitt, Shapira",,https://drive.google.com/open?id=1bDOFcsb629nM23YrV7WogKXEwrM7aQ3T,
CM 314,"Construction Planning, Equipment, & Methods","Peurifoy, Schexnayder, Shapira",,https://drive.google.com/open?id=1gAw88KA3PgcBNtTqzDYjaUdMvIaFDv5F,
CM 317,Green Building and LEED Core Concepts,LEED,,https://drive.google.com/open?id=1OfE0FKZE8dbyCXoNDvJEEQXM37Yblfrh,
CM 317,LEED Core Concepts Guide: An Introduction to LEED and Green Building,LEED,,https://drive.google.com/open?id=1ji8AjeLYxdOybbf6Ea7FDU01BFo4E7-e,
CM 317,USGBC LEED Green Associate Study Guide,Green Building Council,,https://drive.google.com/open?id=1FISnPp-TPnZNSCDJ8vZ1fDPgxoHbYkVD,
CM 317,USGBC LEED Green Associate Study Guide,Green Building Council,,https://drive.google.com/open?id=1VVEWlcewGA8nxyVLSJFxPtcOzqSIwu89,
CM 450,PREFAB ARCHITECTURE PREFAB ARCHITECTURE,Ryan E. Smith,1,https://drive.google.com/open?id=1kFU_hwB9hpZ38OEntNyv72G-o-8xUCat,
CM113,Building Construction: Principles Materials and Systems,Mehta,,https://drive.google.com/open?id=1sbuwWWc0EASXo-p3fCEM5H4tsT7FhbHH,
COMP 316,Beyond Culture,Edward T. Hall,,https://monoskop.org/images/6/60/Hall_Edward_T_Beyond_Culture.pdf,
Coms 101,A Concise Public Speaking Handbook,"Steven A. Beebe, Susan J. Beebe",5th,https://drive.google.com/file/d/1RKi0Lx0D0tBBzIRuuXWjGzq2KZkER1fZ/view?usp=sharing,
COMS 101,COMS 101: Joy of Public Speaking,Hudson,,https://www.dropbox.com/s/upym4h5b9dv2jfe/Coms%20101.pdf?dl=0,
COMS 101,Practically Speaking,Rothwell,4,https://online.fliphtml5.com/zypme/iewb/,9780197648414
COMS 101,Principles of Public Speaking,German,19,https://drive.google.com/file/d/1lBmsS6tm2z7N3dnEpTCQdQ5FZRyGA9Y4/view?usp=sharing,9781138233898
COMS 101,Principles of Public Speaking,Kathleen M. German,19th,https://drive.google.com/file/d/1ZQqYsYTrZhVMOy6mbFv4DIP4_2GNCYWP/view,9781138233898
COMS 101,Principles of Public Speaking,Kathleen M. German,19th,http://library.lol/main/1571706A4FD1153C248267280E42C621,9781138233898
COMS 101,Public Speaking and Civic Engagement,J. Michael Hogan,Third edition,https://u1lib.org/book/5894802/854f2f,9780205946174
COMS 101,The Art of Public Speaking,Stephen E. Lucas,13th,https://documentcloud.adobe.com/link/track?uri=urn:aaid:scds:US:f3e1ec1f-77c8-44c3-a102-f619ad10171b,
COMS 101,A Concise Public Speaking Handbook,Steven A Beebe,4,https://drive.google.com/open?id=153EAQ4SzEzsjMl5pUfKCuDSPlPHgX2qA,
COMS 101,Communication: Principles for a Lifetime,"Beebe, Beebe, Ivy",6,https://drive.google.com/open?id=1QrIjgEr06kec3TrRyBOkE9_j23da2lKH,9780133882551
COMS 101,Empowering Public Speaking,Deanna Fassett,1,https://drive.google.com/open?id=157XP3SE6rsm9UNn9_b4ymqffHFvboOIK,
COMS 101,MLA Handbook for Writers of Research Papers,Joseph Gibaldi,7,https://drive.google.com/open?id=1UBO_oCeOBFfzNb257scDFEEvK33SZmvX,
COMS 101,Principles of Public Speaking,Kathleen German,19,https://drive.google.com/open?id=1I5S41k2hzMISS3fwaYchEk-dJuOK2-YI,9781138233898
COMS 101,Public Speaking and Civic Engagement,"Hogan, J. Michael",3,https://drive.google.com/open?id=18x6XpsKbUuJBuJaZIw6egAo6Km8Qbo0T,9780205946174
COMS 101,Public Speaking: The Evolving Art,"Stephanie J. Coopman, James Lull",4,https://drive.google.com/open?id=1tbUfhjLmwLd6T0DxLW17fZV8A3ekIy0X,9781337107563
COMS 101,Speak Up: An Illustrated Guide to Public Speaking,"Douglas M. Fraleigh, Joseph S. Tuman",3,https://drive.google.com/open?id=1ckNXNRy7HajLeMX8O6lBOzr3-_rMSEVh,9781457623943
COMS 101,Speak Up: An Illustrated Guide to Public Speaking (Full Version),"Douglas Fraleigh, Joseph Tuman",3,https://drive.google.com/open?id=195fahycTBOxz8xMPzaAdg7ImWo5fum7Y,
COMS 101,Speak Up!,Fraleigh & Tuman,3,https://drive.google.com/open?id=11ZZIgWIk8vuploCs8NIeiKhrhoSKtie7,9781457623943
COMS 101,Speak Up!,Fraleigh & Tuman,3,https://drive.google.com/open?id=17o08kaeehmSBy0Y39qsMFENtR-ofdMQa,9781457623943
COMS 101,Speak Up!: An Illustrated Guide to Public Speaking (3rd Edition) (2014),Douglas M. Fraleigh/Joseph S. Tuman,3,https://drive.google.com/open?id=1Zx6UKL8OHKZWT6hRbc33AjVXR_bfeI6d,9781457623943
Coms 101,Speech Craft,Joshua Gunn,1,https://drive.google.com/open?id=1VretU2MDEOto-lu0XKTS0sD_FaPMbyXn,9780312644888
coms 101,the art of public speaking -- the current link gives a 404,stephen e. lucas,13,https://drive.google.com/open?id=1cVPArjzvd_96WWMZnvrNdFhpL13ojSM_,
COMS 101,Speak Up,Douglas M. Fraleigh,3,https://drive.google.com/open?id=13t9oMY49Xgat0RS3xJqIEYMQuVCJOdn_,9781457623943
COMS 101,The Art of Public Speaking,Stephen Lucas,12,https://drive.google.com/open?id=1V9HYsXLGV1OqkPlamcpM7h2f18DHE9JQ,9780073523910
COMS 101 (Mehl),Principles of Communication: Public Speaking,"Beebe, Beebe, Ivy, Mehl",1,https://drive.google.com/open?id=1FboQeGVJOW1Ti_yTzp218FAeWRvS4cbE,
COMS 101 / HNRS 101,public speaking and civic engagement,J. Michael Hogan,3,https://drive.google.com/open?id=1Ifh5JerVim9qW_YMGxCN_xsMKMEQbXCl,9780205946174
COMS 102,Principles of Public Speaking,Kathleen German,19 (2017),https://drive.google.com/file/d/1XJTVFvyE_dLuVQZmFJVckWoICmQc1pUg/view?usp=drivesdk,9781138233898
COMS 102,How To Give A Speech,Gary Genard,2,https://drive.google.com/open?id=1JUOHqwuTtr5rPqCpaGs0BBGDSEy7MNlG,
COMS 102,Talk Like Ted,Carmine Gallo,,https://drive.google.com/open?id=1EAu-1Xw2C5RRFvL2vn2SDDydUXOo99PG,
COMS 102,The Art of Public Speaking,Stephen Lucas,13,https://drive.google.com/open?id=161BTXTXjnuYSLJCqbVHSNCMGPlN8Ii8R,
COMS 102,The Art of Public Speaking,Stephen Lucas,11,http://www.pecos.k12.nm.us/wp-content/uploads/2014/06/The-Art-of-Public-Speaking-11e-Stephen-E.-Lucas.pdf,
COMS 126,The Argument Culture: Stopping America’s War of Words,Deborah Tannen,,http://libgen.rs/book/index.php?md5=CD5FC9C960834183805F278545D1AC57,
COMS 126,Dare to Speak: Defending Free Speech for All,Suzanne Nossel,2020,http://libgen.rs/book/index.php?md5=BAB51FD3CC863D29BEC4E4F399BB67DE,
COMS 126,Dare to Speak: Defending Free Speech for All,Suzanne Nossel,2020,https://drive.google.com/open?id=1pG4xqUNDk7C-o_K_UeKg1-95j7fHxHtg,
COMS 126,The Argument Culture: Stopping America's War of Words,Deborah Tannen,3.1,https://drive.google.com/open?id=1ImYDkNWu_0G6G9rrrJPqaZoIsEqKX-t3,
COMS 126,Understanding Argument in a Post-Truth World,Heather Walters and Kristen Stout,2019,https://drive.google.com/open?id=1C0Wh2JmOBkW0ec2hTPFPE-NyAAGW1cj9,
COMS 145,The Sunflower,Simon Wiesenthal,1,https://www.academia.edu/7166724/Simon_Wiesenthals_The_Sunflower,
COMS 145,Walk In The Light and 23 Tales,Leo Tolstoy,Not sure but it's from 2007,https://onlinechristianlibrary.com/wp-content/uploads/2019/05/tolstoy_walk_in_the_light.pdf,
COMS 145,ARGUMENTATION : Critical Thinking in Action,David Lapakko,4,https://drive.google.com/open?id=1784YntLvuSiUhDfRUclCgL-Y9GNQSXaj,
COMS 145,Logic and Contemporary Rhetoric: The Use of Reason in Everyday Life,Howard Kahane,11th,https://epdf.tips/logic-and-contemporary-rhetoric-the-use-of-reason-in-everyday-life.html,
COMS 206,A First Look at Communication Theory,"Em Griffin, Andrew Ledbetter, Glenn Sparks",10,https://drive.google.com/open?id=1KoJTzC_ETg69yXt3XhuBTel3vge5kLcQ,
COMS 208,Oral Interpretation,"Timothy Gura, Benjamin Powell, Charlotte I. Lee",13,https://drive.google.com/open?id=1Sbd4Sl3VuY-Vq1oW0bQ4_vAh84n5Nzma,9781138082205
COMS 213,Organizational Communication: Approaches and Processes,Katherine Miller; Joshua Barbour,7,https://drive.google.com/open?id=1SuOJhwTD-YdT5PiIJHB7V_FF52ZJ0X8i,9781285164205
COMS 316,Braving the Wilderness: The Quest for True Belonging and the Courage to Stand Alone,Brené Brown,,https://libgen.lc/ads.php?md5=1F1E60314D5801960D7576B170FD59B0,
COMS 316,Intercultural Communication in Contexts,"Judith N. Martin, Thomas K. Nakayama",7th,"http://libgen.gs/ads.php?md5=d839b47cd83b9e7ff4c0e1c4a7067cc9 only click the top ""Get"" Link",
coms 316,Intercultural Communication in Contexts,"Martin, J. N., & Nakayama, T. K.",7th,https://drive.google.com/file/d/1aTpkFNLR65hCoyVyi9kU47eotl8F7mdM/view?usp=sharing realized you wanted a gdrive link,
COMS 316,Intercultural Communication in Contexts,"Martin, J.N., & Nakayama, T.K.",7th,https://vdoc.pub/download/intercultural-communication-in-contexts-6o76q7pm1rk0,
Coms 316,Braving the Wilderness,Brene Brown,,https://drive.google.com/open?id=1soHEqTov4wL8Rq1vwv5buV0KZ4EJW0tH,
COMS 322,Influence: Science and Practice,"Cialdini, R.B.",5,https://drive.google.com/open?id=1LPOSq_kTqgL7RRdxOhDTYBgUjCV7Q9SZ,9780205609994
COMS 322,Persuasion In Society,Jones & Simons,3,https://drive.google.com/open?id=1vlDxKJALrowQy9B7N4-02S2-hpXQ399l,
COMS 330,Aristotle on Rhetoric,"Aristotle, trans. George Kennedy",2,https://drive.google.com/open?id=1HM1PN5AR2Vq3GVAZAjWgXCa4AAlY1vE5,
COMS 330,"De Orator, bks. I-II","Cicero, trans. E.W. Sutton & H. Rackham",,https://drive.google.com/open?id=10WHwlmikOC4VBNwl9SldO47W_qFZ22Ro,
COMS 330,Selected Political Speeches of Cicero,"Cicero, trans. Michael Grant",,https://drive.google.com/open?id=1d9QGt0WWbuoCdJ5bf1GcuMAycMsZ66qT,
COMS 384 Media Effects,Media Effects,Potter,2017,https://drive.google.com/open?id=1Z-STnOXwpdKhVBqtFrw69n0wsnRLa8XK,
COMS 386,Mass Media & American Politics,Graber; Sarrell M. West; Johanna Dunaway,10,https://drive.google.com/open?id=16YZm6OfromPiNbRCRJMtwrjf8hHMlM98,
COMS 418,Communicating about health: Current issues and perspectives.,du Pre & Overton,6,https://bibliu.com/app/#/view/books/9780197548769/epub/OEBPS/coverImage.html#page_Cover (Bibliu.com),9780197548769
COMS 420,Nonverbal Communication in Everyday Life,"Remland, Martin S.",4,https://drive.google.com/open?id=1nfRRkLsWJJIBz-gAhr9r-9MZ-pTwKdqG,9781483370255
COMS 421,Gendered Lives,Fixmer-Oraiz,13,https://drive.google.com/open?id=1L8oXpibM_8vp-e6Eoih2ui9GZW1FNTnL,9781337555883
CPE 100,Studying Engineering: A Road Map to a Rewarding Career,Landis,4,https://drive.google.com/open?id=1Hcjfvfq_Ne48Csjv1x8QBq1o-kxeO9Vj,9780979348747
CPE 133,Digital Design Foundation Modeling,James Mealy,,https://drive.google.com/open?id=1oVbHlTSVQ2Lw3YH1NWwVvddYUy0zAc9m,
CPE 133,FreeRange Digital Design Foundation Modeling Lab Activity Manual,James Mealy,,https://drive.google.com/open?id=1Ucu3kNWvi_COzdOv7Qh6uBw8INaSa9Co,
CPE 133,FreeRange Digital Design Foundation Modeling Solutions Manual,James Mealy,,https://drive.google.com/open?id=1sTsd_0sKh6us3X08Gz5raW23fxSoR6xY,
"CPE 133, EE 133",Digital McLogic Design,Bryan J. Mealy & James T. Mealy,2012,https://drive.google.com/open?id=1LcjK-MoYjo43EFucJuk6kcJS-AOcyFjy,
CPE 202,Data Structures and Algorithms with Python,"Lee, Kent D., Hubbard, Steve",1,https://drive.google.com/open?id=16W5o4rTzXyHTxDUpkuGzR195Tz-eCeqG,
CPE 203,Big Java Early Objects,Cay Horstmann,6th,https://psv4.userapi.com/c812737/u16929061/docs/0b08f736dfaa/Big_Java_Early_Objects-_6th_edition.pdf?extra=giIDIxnjeaT4cbrb5CD3jfdfL9mBL6lvIVIoHsV98JnZ8ILh-PtpHaYiAa9M_1t2h7hmJSzwiP_sTD2G2bYoLvuEpqD7nwct5ZORs5Cc_L64dyP79zuOzS64SMp-pgddjjCR8NuxR2FOfw,9781119056447
CPE 203,Core Java Volume I: Fundamentals,Cay S Hortsman,10,https://drive.google.com/open?id=1ueDSEA6SnIkUGtHEHQG_xZzN0Ic9bN8Y,
CPE 315,Computer Organization and Design,"David A. Patterson, John L. Hennessy",5,http://library.lol/main/8BA6B1AF686927B583B41684A5EBF98A,9780124077263
CPE 315,Computer Organization and Design,Patterson Hennesey,4,https://drive.google.com/open?id=1rQwTx5folWzGzQiHNY7t1axNJIN-jMM0,9780123747501
CPE 315,Computer Organization and Design,David Patterson,5,https://drive.google.com/open?id=1FQCyEgWjmQ0ErP_QK9fsmPiV3Ob6zoUs,9780124077263
CPE 327,DSP First,"James H. McClellan, Ronald Schafer, Mark Yoder",2,http://library.lol/main/C3B02542D71909DCEFBF0D4906B45CBF,9780136019251
CPE 357,Advanced Programming in the UNIX Environment,"W. Richard Stevens, Stephen A. Rago",3,https://drive.google.com/open?id=1a6LdBsZkqvZZyY96246LHKvKYWWc86AM,9780321637734
CPE 453,Operating System Concepts,"Silberschatz, Galvin, and Gagne",10,https://drive.google.com/open?id=1YS_dFnaw6SHG9qX-WwoEhsWz2NUKWCeX,9781119456339
