"Class? (MATH 143, PSY 202, etc)",Book Title,Book Author,Edition,Link,ISBN
ANT 201,Mirror for Humanity,Conrad Phillip Kottak,7,https://drive.google.com/open?id=1kzewBpMV0xveabB20rtunhKZHLgbCY_f,
ANT 201 Dr lewis,Humanity An Introduction to Cultural Anthropology,#NAME?,11,https://drive.google.com/open?id=1Xc-AhdVC6Yu733cgnqVx3u8hUhJGlLvX,9781337109697
ANT 202,World Prehistory and the Anthropocene,"Joy McCorriston, Julie Field",,https://drive.google.com/open?id=1i2W85gkYwqXLBmlc4Hcq0hzTfWP-DAep,
ANT 250,How Humans Evovled,Robert Boyd,8th edition,https://drive.google.com/file/d/1X04_rV00KcQ3Pni_yKzh_7Xon0yaXK2i/view?usp=sharing,
ANT 250,Demonic Males: Apes and the Origins of Human Violence,Richard Wrangham,,https://drive.google.com/open?id=17qwNRibQjI5BKUg1SFH110Q1PX4WJiPR,
ANT 250,Our Origins: Discovering Physical Anthropology,Larsen,4,https://drive.google.com/open?id=1c_Xeow-VG17_8qAs5Syx6-yNf80GCZam,
ANT 250,How Humans Evolved,Robert Boyd,5,https://drive.google.com/open?id=12dlMXAA2RhzFmTjnmvmfpe-0BQNHb9pU,
Ant 309,Archaeology Essentials (2018),"Renfrew, Colin, and Paul Bahn",,https://drive.google.com/open?id=1c3dTll2bvDjhDHLLxhYl3T6WqMmOn_y9,
ANT 344,Evolution and Human Behavior,John Cartwright,3,https://drive.google.com/open?id=18QgxtkKlJUWICZAQHFEts8neVRsPXuNB,
ANT 455,Research Methods in Anthropology: Qualitative and Quantitative Approaches,H. Russell Bernard,4,https://drive.google.com/open?id=1ogusIstcISazqS8cW0kPS_JfLOrLPdKq,
ARCE 106,Building Construction Illustrated - 6th edition,Francis Ching,6,https://drive.google.com/open?id=1prGnno_Zj1DjtzGipuULh8CC56Dk7c6j,9781119583080
ARCE 212 (i think also 211 and 213),Statics and Strength of Materials for Architecture and Building Construction,"Barry Onuye, Kevin Kane",Fourth,https://drive.google.com/open?id=1dzqJYgCKvSLgmxxtTEu95TCVs8TRC1NP,9780135079256
